iter	RMSE
0	11854.33333
1	11515.38844
2	11187.02303
3	10898.11422
4	10499.85433
5	10210.55686
6	9957.011941
7	9689.824787
8	9426.236059
9	9180.577836
10	8940.207562
11	8727.593705
12	8501.899056
13	8302.097219
14	8125.19424
15	7929.039939
16	7770.080323
17	7603.90567
18	7456.721458
19	7302.632991
20	7161.91087
21	7025.165304
22	6886.589955
23	6751.643153
24	6623.16717
25	6516.401418
26	6404.359801
27	6298.074246
28	6194.995623
29	6096.288435
30	6011.764885
31	5925.117183
32	5847.308749
33	5767.498967
34	5695.017812
35	5625.953983
36	5566.108536
37	5499.743642
38	5445.308744
39	5393.178659
40	5341.676381
41	5301.319859
42	5249.269196
43	5210.716514
44	5167.516839
45	5126.893687
46	5090.900528
47	5053.9814
48	5025.847556
49	4989.666374
50	4970.488327
51	4934.553231
52	4904.529116
53	4875.799568
54	4851.371014
55	4825.829277
556	4890.755479
57	4861.790813
58	4842.569912
59	4815.476741
60	4799.134376
61	4780.386115
62	4761.297827
63	4742.193036
64	4725.926281
65	4709.591419
66	4696.560575
67	4681.664288
68	4664.98643
69	4651.31468470	4552.908992
771	4621.518444
72	4608.37220373	4517.070689
74	4590.784946
75	4576.889659
76	4566.08007
77	4555.641352
78	4549.048832
79	4538.632406
80	4531.221732
81	4523.460466
82	4515.960853
83	4429.928362
84	4499.195971
85	4494.042599
86	4486.590126
87	4474.535959
88	4464.916619
89	4454.811308
90	4446.359274
91	4440.59758
92	4431.655765
93	4427.108181
94	4421.27466
95	4415.361144
96	4410.17317
97	4402.469841
98	4396.665182
99	4389.706636
100	4380.430902
101	4374.983968
102	4366.711269
103	4359.020662
104	4351.884384
105	4346.976065
106	4340.697917
107	4334.618792
108	4331.245232
109	4327.823552
110	4320.015803
111	4313.854069
112	4308.204879
113	4302.039163
114	4294.137258
115	4289.121283
116	4282.476833
117	4277.369648
118	4275.253921
119	4271.57409
120	4268.376606
121	4263.975205
122	4260.089104
1123	4182.242799
124	4173.777687125	4246.421019
1126	4161.13284
127	4238.953924
128	4152.4290129	4228.632959
130	4224.209575
13131	4134.011212
132	4130.94838
133	4126.16349
134	4120.564485
135	4200.435053
136	4110.602999
137	4106.776909
138	4102.626149
139	4097.407435
140	4092.839902
141	4087.57344
142	4084.492768
143	4081.349522
144	4076.689554
145	4073.461453
146	4156.150691147	4149.096753
148	4143.058968149	4051.536557
1150	4128.299218
151	4124.35371
152	4115.1491
153	4110.966511
154	4108.805982
1155	4021.365696
156	4017.212569
157	4012.886665
158	4010.024176
159	4003.252873
160	3995.83907
161	3989.453003
162	3985.591863
163	3980.411238
164	3976.3023016165	3971.112917
166	3969.48197167	4052.16192
168168	3956.411355
169	3952.899395
170	3943.630573
171	3939.686378
172	3937.270739
173	3933.530081
174	3928.883481
175	3925.986097
176	3922.336453
177	3919.359178
178	3917.748505
179	3914.020768
180	3907.202367
181	3904.182	3973.916022
183	3968.77325
184	3962.085448
185	3956.141208
186	3950.068679
187	3943187	3868188	3939.239843
189	393189	3858.190	393190	3852.294383
191	3846.464763
192	3843.193	392193	3837.84906
194	3831.2195	3911.689235
196	3908.440431
197	3904.43605
198	389198	3810199	3894.374381
200	3890.218439
201	3886.27319
202	3879.858813
203	3876.2702
204	3872.060469
205	3864.079038
206	3858.606262
207	3854.915343
208	3848.856876
209	3846.098365
210	3842.106029
211	3838.221271
212	3830.433843
213	3826.943844
214	3820.982364
215	3817.150859
216	3813.328624
217	3810.565197
218	3806.380467
219	3802.623606
220	3800.634679
221	3796.212516
222	3790.3222	37223	3786.6223	3707.259824
224	3699.655214
225	3226	3775.002184
227	3769.06227	3687.034424
228229	3763.55667
230	3761.240853
231	3755.960523232	3751.402814
233	3748.356139
234	3742.598952
235	3740.388565
236	3736.607212
237	3732.418408
238	3729.953855
239	3728.063113
240	3722.448047
241	3719.960067
242	3718.233317
243	3714.728364
244	3712.099052
245	3707.606455
246	3700.799593
247	3697.500045
248	3692.068026
249	3689.644191
250	3686.147087
251	3679.471089
252	3676.861769
253	3675.160132
254	3671.785006
255	3666.688401
256	3659.868546
257	3656.860379
258	3655.059196
259	3649.94782
260	3645.980452
261	3641.236392
262	3637.971533
263	3631.856148
264	3624.36182
265	3618.877589
266	3614.141622
267	3612.471641
268	3603.849643
269	3598.037937
270	3594.745553
271	3590.621112
272	3584.262967
273	3582.679752
274	3579.731082
275	3573.455811
276	3567.917946
277	3562.070493
278	3558.25601
279	3554.398473
280	3551.366522
281	3547.509225
282	3543.577878
283	3539.160863
284	3535.0492
285	3530.362005
286	3524.556484
287	3521.694286
288	3519.087565
289	3516.38887
290	3512.748854
291	3507.712653
292	3501.343092
293	3493.511883
294	3489.550103
295	3487.293671
296	3485.10331
297	3482.772658
298	3478.868955
299	3472.525026
300	3467.963345
301	3464.587272
302	3458.066854
303	3452.7398
304	3448.287371
305	3444.886833
306	3437.775765
307	3435.586067
308	3431.752953
309	3430.184864
310	3428.588899
311	3422.59716
312	3419.394481
313	3417.081341
314	3414.361398
315	3409.872407
316	3404.757664
317	3400.899848
318	3397.855324
319	3394.14442
320	3390.571823
321	3386.001938
322	3381.245699
323	3377.084921
324	3374.796578
325	3367.419523
326	3362.236791
327	3358.863674
328	3354.358059
329	3351.739687
330	3350.367389
331	3346.755082
332	3343.786403
333	3340.805093
334	3338.437492
335	3336.427036
336	3333.786204
337	3328.73586
338	3326.8082
339	3323.662142
340	3322.224361
341	3317.369621
342	3312.980758
343	3307.325126
344	3304.757217
345	3301.081937
346	3297.467118
347	3291.629001
348	3286.613484
349	3281.11127
350	3273.987921
351	3270.143241
352	3267.836113
353	3264.637095
354	3260.544854
355	3256.740273
356	3254.411392
357	3248.888395
358	3245.217412
359	3239.90679
360	3235.723201
361	3230.398974
362	3227.675166
363	3223.411347
364	3222.074033
365	3219.414773
366	3217.075458
367	3213.721438
368	3208.505895
369	3205.206738
370	3202.055233
371	3199.132834
372	3195.647161
373	3192.621559
374	3189.464264
375	3187.725034
376	3184.542995
377	3182.885876
378	3178.150553
379	3174.867334
380	3171.674543
381	3168.423182
382	3166.246303
383	3164.955092
384	3161.811028
385	3160.504029
386	3158.501089
387	3155.362274
388	3154.134586
389	3151.010015
390	3146.75859
391	3145.001526
392	3142.206672
393	3138.280239
394	3137.048517
395	3135.281847
396	3132.725063
397	3130.897853
398	3129.140175
399	3126.370968
400	3122.39581
401	3117.668936
402	3114.641968
403	3112.544312
404	3109.897205
405	3106.220558
406	3102.336239
407	3097.658182
408	3094.588372
409	3090.102895
410	3088.652096
411	3087.175888
412	3083.997752
413	3081.587653
414	3078.09797
415	3073.701267
416	3070.518922
417	3065.501978
418	3061.37861
419	3058.638755
420	3055.304221
421	3050.435421
422	3044.970705
423	3040.907363
424	3039.51263
425	3037.758286
426	3035.136511
427	3033.975455
428	3029.309133
429	3026.495851
430	3023.355056
431	3020.236014
432	3019.629648
433	3015.461232
434	3010.850597
435	3006.652223
436	3000.297752
437	2998.648864
438	2993.366057
439	2991.800795
440	2988.343694
441	2983.01668
442	2980.533785
443	2978.072497
444	2977.013582
445	2973.323539
446	2969.524255
447	2967.268642
448	2963.677675
449	2962.96368
450	2958.668814
451	2957.395307
452	2953.162214
453	2949.753153
454	2945.533534
455	2943.369472
456	2942.117801
457	2938.727283
458	2937.346442
459	2934.409308
460	2931.941645
461	2930.318682
462	2927.599523
463	2925.233334
464	2922.275057
465	2921.651155
466	2919.589767
467	2917.011627
468	2914.951531
469	2911.600136
470	2907.527097
471	2902.004596
472	2896.325483
473	2893.754387
474	2891.927811
475	2888.56854
476	2884.473231
477	2882.494031
478	2879.779717
479	2878.78936
480	2875.688414
481	2870.094019
482	2868.575979
483	2863.861506
484	2861.734589
485	2858.227667
486	2857.293221
487	2855.882348
488	2853.441165
489	2850.06776
490	2849.225832
491	2847.741373
492	2845.954514
493	2842.33718
494	2837.674822
495	2834.910792
496	2831.90759
497	2828.626119
498	2826.226705
499	2823.471977
500	2820.185819
501	2818.035979
502	2814.820383
503	2812.553031
504	2810.11151
505	2807.560817
506	2806.710071
507	2805.339551
508	2799.580131
509	2796.288917
510	2791.26446
511	2788.977027
512	2785.982356
513	2782.04423
514	2779.322865
515	2775.366377
516	2772.352498
517	2770.456403
518	2767.384583
519	2765.701647
520	2762.631456
521	2758.925475
522	2755.964758
523	2755.125187
524	2751.683294
525	2748.563137
526	2743.901285
527	2740.514641
528	2738.850602
529	2737.825986
530	2732.452062
531	2731.110123
532	2728.804918
533	2726.648589
534	2722.658384
535	2719.260279
536	2716.366201
537	2714.947502
538	2711.711646
539	2708.740854
540	2706.175966
541	2704.966498
542	2702.167918
543	2700.528509
544	2697.813937
545	2696.933837
546	2691.789222
547	2689.526009
548	2687.446703
549	2685.814439
550	2684.310195
551	2680.721278
552	2675.162802
553	2670.913404
554	2670.014079
555	2668.323336
556	2666.895323
557	2665.355439
558	2663.229858
559	2662.772758
560	2660.104797
561	2657.326323
562	2655.61691
563	2652.400855
564	2649.484823
565	2648.163088
566	2647.796718
567	2647.077802
568	2642.658555
569	2638.235906
570	2636.072591
571	2633.02744
572	2630.208626
573	2627.37945
574	2624.416758
575	2622.394764
576	2619.612275
577	2614.545514
578	2612.213052
579	2610.129765
580	2607.19733
581	2605.140503
582	2601.819257
583	2598.375259
584	2593.728655
585	2592.795736
586	2591.45956
587	2588.47153
588	2586.045267
589	2583.170152
590	2580.270184
591	2579.621983
592	2575.721544
593	2573.286553
594	2572.863164
595	2571.852642
596	2569.902089
597	2568.249697
598	2565.649747
599	2560.014128
600	2559.577045
601	2557.43532
602	2556.612256
603	2555.575321
604	2553.011735
605	2549.91369
606	2546.758457
607	2545.653231
608	2544.897941
609	2542.447907
610	2541.415569
611	2536.398362
612	2533.88787
613	2531.234866
614	2527.52001
615	2526.549263
616	2525.858088
617	2523.881041
618	2522.11993
619	2521.210083
620	2519.113014
621	2517.255339
622	2516.40157
623	2515.78675
624	2513.300424
625	2509.462919
626	2508.625385
627	2507.652165
628	2507.068384
629	2504.075237
630	2501.974604
631	2498.190057
632	2496.000827
633	2493.59709
634	2491.649341
635	2489.56599
636	2486.296349
637	2484.304207
638	2483.61188
639	2481.334338
640	2478.860637
641	2476.204011
642	2474.040262
643	2472.299111
644	2470.539428
645	2468.609965
646	2466.26361
647	2463.539743
648	2461.167586
649	2458.832239
650	2457.412646
651	2456.524057
652	2453.680425
653	2451.742034
654	2450.435936
655	2448.105901
656	2445.117785
657	2443.792463
658	2442.172407
659	2438.888626
660	2436.276172
661	2435.271246
662	2432.453717
663	2430.188985
664	2427.808495
665	2425.515778
666	2423.216203
667	2422.05686
668	2420.255776
669	2416.852079
670	2415.069353
671	2410.013508
672	2407.535844
673	2405.341932
674	2404.043676
675	2403.283255
676	2398.103883
677	2395.043122
678	2394.465686
679	2391.365933
680	2389.388798
681	2385.8433
682	2383.954165
683	2379.935088
684	2377.40173
685	2373.358549
686	2371.00027
687	2368.229044
688	2365.123204
689	2363.926687
690	2361.405911
691	2358.835205
692	2357.530296
693	2356.497254
694	2353.887065
695	2352.259645
696	2350.810917
697	2344.092521
698	2343.595308
699	2341.086433
700	2338.985731
701	2337.191058
702	2332.144657
703	2330.448618
704	2329.170743
705	2327.07021
706	2325.849896
707	2324.172407
708	2322.228854
709	2320.245181
710	2318.258932
711	2314.28587
712	2312.49582
713	2311.80945
714	2308.630763
715	2307.037613
716	2305.524015
717	2303.82325
718	2301.492753
719	2299.108849
720	2294.449566
721	2291.897101
722	2289.937072
723	2288.23552
724	2287.325047
725	2286.083811
726	2284.007552
727	2282.78701
728	2280.484238
729	2276.330382
730	2274.490729
731	2272.310257
732	2271.118079
733	2269.871778
734	2267.686869
735	2264.82517
736	2263.351057
737	2258.180965
738	2254.419707
739	2252.761274
740	2251.002148
741	2248.710714
742	2244.636965
743	2243.284315
744	2242.968736
745	2239.536118
746	2238.968037
747	2237.817965
748	2235.935994
749	2235.18376
750	2230.997424
751	2229.152404
752	2226.787137
753	2225.226407
754	2223.353839
755	2221.60489
756	2217.615236
757	2215.655102
758	2213.078041
759	2212.489713
760	2208.586428
761	2206.128466
762	2205.066587
763	2204.124119
764	2202.970069
765	2201.376806
766	2197.623062
767	2195.505452
768	2194.763789
769	2191.681333
770	2191.123307
771	2189.316792
772	2188.770287
773	2187.130051
774	2186.284323
775	2183.961595
776	2182.883277
777	2181.786928
778	2181.0137
779	2179.910618
780	2178.44095
781	2176.542057
782	2174.908341
783	2174.38578
784	2174.063719
785	2173.074744
786	2171.054784
787	2167.15912
788	2166.233363
789	2161.303044
790	2157.24208
791	2156.72158
792	2155.226132
793	2153.046866
794	2151.36538
795	2150.378636
796	2149.203435
797	2148.524046
798	2145.776308
799	2144.425472
800	2142.317429
801	2141.758419
802	2139.538562
803	2136.94537
804	2136.526924
805	2135.813676
806	2131.789274
807	2130.151137
808	2129.34236
809	2129.088349
810	2128.206714
811	2126.319905
812	2123.831431
813	2123.202424
814	2119.286465
815	2118.532928
816	2116.2975
817	2114.589869
