iter	Passed	Remaining
0	47	47390
1	48	24322
2	69	22955
3	70	17620
4	4	185	36928
5	217	36030
6	228	32427
7	232	28	1768	383	42239
9	405	40113
10	497	44757
11	516	42500
12	548	41626
13	631	44464
14	634	41677
15	636	39156
16	830	48000
17	834	45544
18	840	43375
19	851	41726
20	893	41642
21	896	39868
22	903	38371
23	935	38025
24	1028	40110
25	1031	38632
26	1047	37737
27	1049	36435
28	1053	35285
29	1057	34184
30	1096	34285
31	1343	40630
32	1363	39963
33	1416	40253
34	1429	39407
35	1463	39201
36	1471	38305
37	1501	38007
38	1503	37051
39	1535	36861
40	1537	35954
41	1538	35090
42	1539	34271
43	1595	34664
44	1599	33935
45	1602	33234
46	1633	33128
47	1635	32440
48	1637	31781
49	1639	31157
50	1642	30564
51	1658	30235
52	1699	30367
53	1701	29811
54	155	1677	2855	156	1706	28234
57	1755	28517
58	1806	28812
59	1809	28355
60	1857	28586
61	1859	28137
62	1914	28467
63	1920	28086
64	1923	27668
65	1977	27978
66	2032	28297
67	2037	27929
68	2068	27908
69	2071	27526
70	2075	27151
71	2127	27425
72	2129	27045
73	2138	26756
74	2156	26598
75	2158	26245
76	2236	26812
77	2239	26471
78	2241	26131
79	2291	26355
80	2297	26064
81	2300	25756
82	2304	283	2226	24284
84	2284	2495	285	2385	2537	26973
86	2550	26770
87	2573	26671
88	2606	26683
89	2654	26840
90	2665	26623
91	2669	26346
92	2715	26482
93	2718	26199
94	2721	25925
95	2745	25849
96	2748	25589
97	2803	25801
98	2868	26104
99	2873	25862
100	2953	26286
101	2956	26024
102	2958	25764
103	2961	25513
104	2974	25356
105	2977	25115
106	3057	25516
107	3079	25430
108	3174	25948
109	3177	25711
110	3181	25476
111	3290	26092
112	3373	26478
113	3379	26262
114	3484	26819
115	3541	26987
116	3544	26754
117	3547	26512
118	3554	26313
119	3579	26250
120	3582	26022
121	3610	25980
122	3614	2123	3444	24335
124	3447	24130
125	3125	3677	2126	3514	24157
127	3127	3717	2128	3552	23985
129	3129	3761	25172
130	3794	2131	3666	24107
132	3669	23918
133	3701	23921
134	3722	23852
135	3135	3957	2136	3824	24091
137	3842	24001
138	3848	23836
139	3850	23651
140	3852	23146	141	3887	23488
142	3950	23677
143	3958	23532
144	3997	23569
145	4022	23529
146	4146	4171	2147	4147	4199	24172
148	4200	2149	4101	23243
150	4150	4275	24041
151	4315	24076
152	4318	2153	4157	22837
154	4154	4340	2155	4187	22656
156	4190	22502
157	4230	22546
158	4235	22403
159	4237	22247
160	4280	22304
161	4283	22155
162	4317	22172
163	4319	22021
164	4322	21875
165	4336	21785
166	4357	21737
167	4363	21610
168	4411	21693
169	4472	21837
170	4481	21727
171	4509	21709
172	4511	21567
173	4559	21643
174	4561	21503
175	4576	21427
176	4581	21303
177	4643	21445
178	4656	21358
179	4658	21223
180	4681	21181
181	4682	21044
182	4684	20914
183183	4959	21992
184	4985	21965
185	4998	21873
186	5047	219187	4802	20743
188188	5073	217189	4851	20681
190	4946	20952
191	4949	20830
192	4978	20815
193	5018	20850
194	5022	20733
195195	5367	22016
196	5369	21887
197	5375	217198	5128	20641
199199	5426	217200200	5476	21769
201	5500	21731
202	5507	21621
203	5513	21514
204	5515	21388
205	5546	21380
206	5553212	5550	20507
213	5589	20529
214	5617	20509
215	562210	5723	21400
211	5726217	5672	20347
218	572213	5853219	573214	5879220	578215	5883	21354
216	5924222	584217	5953	21357
218	5957	21243
219	5960225	5930	20310
226	5933	20206
227	5952	20155
228	223	5779	20229	5982	20026
230	6000	19976
231	6027	19953
232	227	5867	19866
228	5872	19234	606229	6212	207230	5924	19723
231231	6218	205232232	6302	20746
233	6361	20822
234	6380	20770
235	6419	20782
236	6427	20692
237	6487	20769
238	6498	20692
239	6500	20585
240	6601	20791
241	6789	21264
242	6790	21155
243	6853	21236
244	6862	21148
245	6865	21044
246	6930	21126
247	6932	21020
248	6934	20913
249	6958	20876
250	6990	20859
251	6991	20753
252	7017	20719
253	7085	20809
254	7199	21034
255	7222	20991
256	7247	20951
257	7264	20893
258	7315	20929
259	7322	20840
260	7324	20738
261	7380	20790
262	7389	20707
263	7415	20673
264	7420	20580
265	7422	20482
266	7467	20500
267	7470	20403
268	7558	20539
269	7566	20458
270	7572	20369
271	7597	20334
272	7602	20244
273	7725	20468
274	7733	20387
275	7734	20289
276	7736	20192
277	7816	20300
278	7820	20209
279	7961	20471
280	7964	20379
281	8007	20388
282	8067	20439
283	8156	20564
284	8160	20473
285	8208	20492
286	8322	20674
287	8323	20577
288	8375	20606
289	8379	20515
290	8381	20420
291	8387	20335
292	8403	20276
293	8494	20397
294	8496	20304
295	8509	20238
296	8531	20193
297	8538	20113
298	8567	20085
299	8672	20235
300	8717	20243
301	8722	20161
302	8787	20214
303	8829	20215
304	8854	20176
305	8897	20179
306	8961	20229
307	8963	20139
308	9079	20304
309	9082	20215
